Infection,Organism,Antibiotic,Sensitivity (%),Resistance (%)
UTI,E. coli,Amikacin,61.2,38.8
UTI,E. coli,Cefepime,27,73
UTI,E. coli,Cefotaxime,12.7,87.3
UTI,E. coli,Ceftazidime,10.8,89.2
UTI,E. coli,Ceftriaxone,12.8,87.2
UTI,E. coli,Ciprofloxacin,13.6,86.4
UTI,E. coli,Colistin,99.1,0.9
UTI,E. coli,Ertapenem,47.7,52.3
UTI,E. coli,Gentamicin,48.7,51.3
UTI,E. coli,Imipenem,54.9,45.1
UTI,E. coli,Levofloxacin,13.4,86.6
UTI,E. coli,Meropenem,56.4,43.6
UTI,E. coli,Minocycline,72.7,27.3
UTI,E. coli,Piperacillin-Tazobactam,42.1,57.9
UTI,E. coli,Tetracycline,27.9,72.1
UTI,E. coli,Tobramycin,41.4,58.6
UTI,E. coli,Amoxicillin-Clavulanate,22.6,77.4
UTI,Klebsiella,Amikacin,30.2,69.8
UTI,Klebsiella,Cefepime,16.8,83.2
UTI,Klebsiella,Cefotaxime,7.9,92.1
UTI,Klebsiella,Ceftazidime,4.3,95.7
UTI,Klebsiella,Ceftriaxone,9.9,90.1
UTI,Klebsiella,Ciprofloxacin,16.1,83.9
UTI,Klebsiella,Colistin,89.5,10.5
UTI,Klebsiella,Ertapenem,21.3,78.7
UTI,Klebsiella,Gentamicin,28,72
UTI,Klebsiella,Imipenem,31.1,68.9
UTI,Klebsiella,Levofloxacin,13.3,86.7
UTI,Klebsiella,Meropenem,32.6,67.4
UTI,Klebsiella,Minocycline,41.1,58.9
UTI,Klebsiella,Piperacillin-Tazobactam,21,79
UTI,Klebsiella,Tetracycline,35.6,64.4
UTI,Klebsiella,Amoxicillin-Clavulanate,15.6,84.4
UTI,Pseudomonas,Amikacin,37.5,62.5
UTI,Pseudomonas,Cefepime,24.3,75.7
UTI,Pseudomonas,Ceftazidime,26.6,73.4
UTI,Pseudomonas,Ciprofloxacin,25.8,74.2
UTI,Pseudomonas,Colistin,100,0
UTI,Pseudomonas,Gentamicin,43.9,56.1
UTI,Pseudomonas,Imipenem,24,76
UTI,Pseudomonas,Levofloxacin,25,75
